# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-125 c,Confirmed,,,,,,,0.066,0.004,0.004,5.774464,4.70E-05,4.70E-05,0.051,,,,,,,,,,2014,06/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-125,298.2581177,47.604946,,,12.484,11.869,11.682,,,,0.126,,,0.55,,,0.51,0.02,0.02,,,,,3810,150,150,,,
Kepler-1250 b,Confirmed,,,,,,,0.171,0.015,0.04,2.60754383,6.52E-06,6.52E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1250,287.793862,45.98024,,,14.432,14.14,14.008,1371,,,0.04,0.178,0.139,0.99,0.05,0.05,0.98,0.08,0.22,,,,,5717,82.51,71.36,,,
Kepler-1251 b,Confirmed,,,,,,,0.164,0.012,0.023,45.0904643,0.000463,0.000463,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1251,292.115153,49.256428,,,13.724,13.359,13.269,863,,,-0.04,0.177,0.148,0.92,0.06,0.05,0.89,0.06,0.12,,,,,5545,95.15,85.54,,,
Kepler-1252 b,Confirmed,,,,,,,0.149,0.021,0.037,15.0540329,0.0001248,0.0001248,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1252,298.950318,46.692799,,,13.159,12.816,12.69,828,,,0.03,0.161,0.137,1.06,0.09,0.09,1.09,0.14,0.27,,,,,5949,218.38,144.6,,,
Kepler-1253 b,Confirmed,,,,,,,0.119,0.016,0.016,68.8861915,0.000527,0.000527,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1253,283.885115,47.637222,,,11.387,11.065,11.016,390,,,-0.14,0.145,0.147,0.97,0.06,0.06,1.1,0.13,0.15,,,,,5850,56.44,65.89,,,
Kepler-1254 b,Confirmed,,,,,,,0.138,0.011,0.008,9.99113313,5.61E-05,5.61E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1254,285.173326,48.770042,,,13.866,13.288,13.292,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,,,,,4985,45.04,53,,,
Kepler-1254 c,Confirmed,,,,,,,0.116,0.011,0.006,3.60084276,1.90E-05,1.90E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1254,285.173326,48.770042,,,13.866,13.288,13.292,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,,,,,4985,45.04,53,,,
Kepler-1254 d,Confirmed,,,,,,,0.117,0.01,0.008,5.72717226,2.91E-05,2.91E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1254,285.173326,48.770042,,,13.866,13.288,13.292,676,,,-0.1,0.203,0.149,0.78,0.05,0.04,0.75,0.05,0.03,,,,,4985,45.04,53,,,
Kepler-1255 b,Confirmed,,,,,,,0.207,0.026,0.057,36.2919336,0.0003156,0.0003156,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1255,295.239275,42.726479,,,14.036,13.706,13.692,1344,,,0.02,0.161,0.133,1.08,0.09,0.1,1.12,0.14,0.31,,,,,6018,186.81,134.73,,,
Kepler-1256 b,Confirmed,,,,,,,0.133,0.02,0.039,12.4127754,0.000108,0.000108,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1256,291.474304,44.683514,,,12.486,12.284,12.234,862,,,0.05,0.077,0.092,1.17,0.06,0.09,1.36,0.19,0.27,,,,,6129,69.29,67.94,,,
Kepler-1257 b,Confirmed,,,,,,,0.136,0.011,0.016,2.66831376,9.86E-06,9.86E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1257,296.075676,45.627056,,,14.289,13.851,13.848,1081,,,-0.09,0.177,0.147,0.9,0.05,0.06,0.87,0.07,0.1,,,,,5502,93.92,168.32,,,
Kepler-1258 b,Confirmed,,,,,,,0.077,0.007,0.012,0.98494017,3.18E-06,3.18E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1258,285.404941,49.994747,,,12.763,12.388,12.382,651,,,-0.07,0.182,0.145,0.99,0.06,0.05,0.99,0.08,0.15,,,,,5839,73.45,79.16,,,
Kepler-1259 b,Confirmed,,,,,,,0.128,0.009,0.006,0.66308526,8.70E-07,8.70E-07,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1259,297.841489,46.967682,,,13.872,13.339,13.28,704,,,-0.07,0.169,0.144,0.8,0.05,0.04,0.77,0.04,0.04,,,,,5053,67.62,113.64,,,
Kepler-126 b,Confirmed,,,,,,,0.1284,0.0018,0.0018,10.495634,3.00E-05,3.00E-05,0.099,,,0.07,0.07,0.1,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-126,289.3472901,44.208553,,,9.616,9.407,9.344,,,,,,,,,,1.36,0.02,0.02,,,,,6239,94,94,,,
Kepler-126 c,Confirmed,,,,,,,0.1336,0.0055,0.0055,21.86964,0.0001,0.0001,0.162,,,0.19,0.19,0.18,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-126,289.3472901,44.208553,,,9.616,9.407,9.344,,,,,,,,,,1.36,0.02,0.02,,,,,6239,94,94,,,
Kepler-126 d,Confirmed,,,,,,,0.2242,0.0028,0.0028,100.28208,0.00041,0.00041,0.448,,,0.02,0.02,0.09,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-126,289.3472901,44.208553,,,9.616,9.407,9.344,,,,,,,,,,1.36,0.02,0.02,,,,,6239,94,94,,,
Kepler-1260 b,Confirmed,,,,,,,0.158,0.025,0.045,19.1187753,0.0001687,0.0001687,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1260,295.591254,42.555241,,,13.603,13.28,13.183,1041,,,0.01,0.183,0.136,1.06,0.08,0.09,1.08,0.14,0.3,,,,,5961,192.48,131.56,,,
Kepler-1261 b,Confirmed,,,,,,,0.202,0.012,0.012,48.4308991,0.0003144,0.0003144,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1261,285.23245,48.806721,,,14.109,13.633,13.558,795,,,0.03,0.16,0.15,0.82,0.04,0.03,0.77,0.03,0.03,,,,,5006,44.49,48.34,,,
Kepler-1262 b,Confirmed,,,,,,,0.162,0.015,0.029,8.67900242,3.79E-05,3.79E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1262,288.771814,42.213219,,,14.059,13.719,13.629,1153,,,-0.02,0.182,0.139,0.99,0.06,0.06,0.98,0.09,0.17,,,,,5771,103.42,101.71,,,
Kepler-1263 b,Confirmed,,,,,,,0.102,0.011,0.025,4.55139967,2.13E-05,2.13E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1263,286.483651,46.752617,,,13.635,13.219,13.08,695,,,-0.03,0.17,0.157,0.84,0.04,0.04,0.8,0.05,0.05,,,,,5213,74.37,61.9,,,
Kepler-1264 b,Confirmed,,,,,,,0.105,0.011,0.02,0.96852602,2.33E-06,2.33E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1264,289.884378,45.211502,,,13.305,12.959,12.901,814,,,-0.02,0.18,0.139,0.99,0.06,0.06,0.98,0.09,0.18,,,,,5791,145.15,109.18,,,
Kepler-1265 b,Confirmed,,,,,,,0.12,0.012,0.006,6.49441289,2.95E-05,2.95E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1265,284.585789,47.079533,,,13.939,13.32,13.2,581,,,-0.1,0.204,0.155,0.71,0.05,0.04,0.69,0.05,0.03,,,,,4630,41.2,42.63,,,
Kepler-1266 b,Confirmed,,,,,,,0.23,0.041,0.012,28.474748,0.0002045,0.0002045,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1266,285.869287,42.728096,,,14.388,13.922,13.824,901,,,-0.07,0.183,0.154,0.8,0.05,0.04,0.76,0.05,0.04,,,,,5044,50.99,49.22,,,
Kepler-1267 b,Confirmed,,,,,,,0.269,0.04,0.085,13.0313945,0.0001104,0.0001104,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1267,299.169533,43.441094,,,14.411,14.092,13.937,1628,,,0.07,0.139,0.15,1.15,0.11,0.11,1.2,0.17,0.37,,,,,6096,215.9,119.67,,,
Kepler-1268 b,Confirmed,,,,,,,0.181,0.021,0.06,40.9903986,0.0004806,0.0004806,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1268,287.838481,43.153236,,,14.153,13.909,13.764,1406,,,0.05,0.166,0.14,1.06,0.06,0.08,1.09,0.12,0.36,,,,,5904,79.21,68.91,,,
Kepler-1269 b,Confirmed,,,,,,,0.145,0.016,0.041,37.3331536,0.000321,0.000321,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1269,287.805581,45.340549,,,12.498,12.23,12.218,710,,,0.07,0.145,0.138,1.1,0.06,0.09,1.15,0.12,0.32,,,,,5998,88.22,88.2,,,
Kepler-127 b,Confirmed,,,,,,,0.136,0.012,0.012,14.43577,0.0001,0.0001,0.125,,,0.47,0.39,0.06,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-127,285.1899719,46.027962,,,10.536,10.3,10.234,,,,-0.154,,,,,,1.36,0.04,0.04,,,,,6106,106,106,,,
Kepler-127 c,Confirmed,,,,,,,0.2131,0.006,0.006,29.39344,0.00017,0.00017,0.2,,,0.03,0.03,0.14,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-127,285.1899719,46.027962,,,10.536,10.3,10.234,,,,-0.154,,,,,,1.36,0.04,0.04,,,,,6106,106,106,,,
Kepler-127 d,Confirmed,,,,,,,0.238,0.0075,0.0075,48.62997,0.00057,0.00057,0.28,,,0.03,0.03,0.28,,,,,2014,16/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-127,285.1899719,46.027962,,,10.536,10.3,10.234,,,,-0.154,,,,,,1.36,0.04,0.04,,,,,6106,106,106,,,
Kepler-1270 b,Confirmed,,,,,,,0.296,0.058,0.027,6.03356196,6.55E-05,6.55E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1270,286.715634,48.645279,,,11.843,11.333,11.242,1204,,,-0.02,0.02,0.111,1.28,0.11,0.01,3.38,0.41,0.3,,,,,5047,34.17,40.17,,,
Kepler-1271 b,Confirmed,,,,,,,0.132,0.014,0.021,3.0255955,1.16E-05,1.16E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1271,286.344287,37.411973,,,12.861,12.569,12.503,885,,,-0.01,0.094,0.08,1.13,0.06,0.06,1.23,0.13,0.18,,,,,6143,88.49,81.37,,,
Kepler-1272 b,Confirmed,,,,,,,0.211,0.029,0.062,51.1309704,0.0004514,0.0004514,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1272,285.219843,38.805878,,,13.207,12.899,12.888,896,,,0.06,0.16,0.142,1.06,0.07,0.08,1.09,0.11,0.27,,,,,5926,135.18,95.26,,,
Kepler-1273 b,Confirmed,,,,,,,0.222,0.017,0.029,28.625653,0.0002174,0.0002174,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1273,285.803226,44.873428,,,14.615,14.192,14.26,1355,,,0.03,0.157,0.132,0.94,0.05,0.04,0.91,0.06,0.12,,,,,5566,71.25,77.45,,,
Kepler-1274 b,Confirmed,,,,,,,0.127,0.009,0.009,6.98152703,6.71E-05,6.71E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1274,284.593715,46.449776,,,10.756,10.506,10.454,609,,,0.11,0.071,0.084,1.45,0.05,0.06,2.17,0.12,0.13,,,,,6179,48.15,54.41,,,
Kepler-1275 b,Confirmed,,,,,,,0.132,0.024,0.058,3.65691115,1.58E-05,1.58E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1275,293.500497,44.932457,,,13.4,13.119,13.062,1280,,,0.04,0.16,0.131,1.23,0.13,0.21,1.36,0.23,0.6,,,,,6296,214.87,202.94,,,
Kepler-1276 b,Confirmed,,,,,,,0.106,0.01,0.018,12.5720095,0.0001098,0.0001098,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1276,287.85701,40.547181,,,11.923,11.663,11.639,587,,,-0.02,0.096,0.084,1.14,0.05,0.05,1.21,0.1,0.14,,,,,6188,55.24,65.25,,,
Kepler-1277 b,Confirmed,,,,,,,0.143,0.01,0.026,40.8365012,0.0004586,0.0004586,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1277,295.102413,40.572396,,,12.873,12.497,12.427,606,,,-0.01,0.111,0.105,0.94,0.04,0.04,0.92,0.05,0.06,,,,,5578,68.73,82.21,,,
Kepler-1278 b,Confirmed,,,,,,,0.09,0.011,0.028,3.23941344,1.70E-05,1.70E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1278,282.956935,42.825619,,,12.625,12.316,12.27,743,,,0.02,0.161,0.134,1.11,0.08,0.11,1.16,0.13,0.35,,,,,6074,128.32,112.24,,,
Kepler-1279 b,Confirmed,,,,,,,0.156,0.024,0.079,23.4774101,0.0002445,0.0002445,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1279,288.095635,40.365964,,,12.901,12.662,12.62,1017,,,0.06,0.141,0.134,1.21,0.1,0.19,1.33,0.19,0.62,,,,,6221,110.44,97.8,,,
Kepler-128 b,Confirmed,0.0941,0.142,0.061,,,,0.101,0.014,0.014,15.09,,,,,,,,,,,,,2013,20/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-128,282.4917,43.9803,11.4,,,,,,,,-0.048,,,1.17,0.51,0.37,1.55,0.22,0.22,,,,,6013,,,,,
Kepler-128 c,Confirmed,0.104,0.149,0.07,,,,0.101,0.014,0.014,22.804,,,,,,,,,,,,,2013,20/12/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-128,282.4917,43.9803,11.4,,,,,,,,-0.048,,,1.17,0.51,0.37,1.55,0.22,0.22,,,,,6013,,,,,
Kepler-1280 b,Confirmed,,,,,,,0.167,0.026,0.074,66.5579057,0.0007705,0.0007705,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1280,293.573935,45.384541,,,12.966,12.717,12.602,1006,,,0.04,0.153,0.135,1.2,0.11,0.18,1.32,0.2,0.59,,,,,6227,156.51,121.69,,,
Kepler-1281 b,Confirmed,,,,,,,0.146,0.012,0.012,3.11602791,1.30E-05,1.30E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1281,295.354457,48.515404,,,14.477,14.094,13.929,1090,,,-0.04,0.175,0.169,0.87,0.05,0.04,0.83,0.05,0.06,,,,,5353,93.58,86.5,,,
Kepler-1282 b,Confirmed,,,,,,,0.138,0.01,0.019,2.13194651,6.87E-06,6.87E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1282,290.176173,46.698338,,,14.318,13.941,13.852,1126,,,0.01,0.168,0.137,0.92,0.04,0.04,0.89,0.06,0.11,,,,,5504,78.7,81.08,,,
Kepler-1283 b,Confirmed,,,,,,,0.17,0.028,0.07,12.9460978,0.0002185,0.0002185,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1283,295.462337,40.776969,,,13.92,13.612,13.567,1452,,,0.04,0.159,0.128,1.16,0.11,0.18,1.25,0.2,0.51,,,,,6175,233.53,183.18,,,
Kepler-1284 b,Confirmed,,,,,,,0.108,0.006,0.009,0.66407381,1.48E-06,1.48E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1284,291.279002,47.687649,,,14.162,13.753,13.572,852,,,0.03,0.175,0.17,0.84,0.04,0.04,0.79,0.04,0.05,,,,,5123,83.53,62.8,,,
Kepler-1285 b,Confirmed,,,,,,,0.087,0.007,0.009,14.7967458,0.0001134,0.0001134,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1285,281.835355,44.155926,,,10.785,10.503,10.484,364,,,0.16,0.088,0.089,1.2,0.04,0.05,1.28,0.09,0.12,,,,,6170,62.49,67.21,,,
Kepler-1286 b,Confirmed,,,,,,,0.192,0.016,0.04,11.25402929,6.81E-05,6.81E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1286,280.258382,43.835766,,,14.017,13.683,13.655,1150,,,0.03,0.155,0.138,1,0.05,0.05,0.98,0.07,0.2,,,,,5753,79.2,74.56,,,
Kepler-1287 b,Confirmed,,,,,,,0.137,0.012,0.02,11.47685909,6.47E-05,6.47E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1287,289.134661,47.062996,,,13.925,13.54,13.505,1027,,,-0.05,0.183,0.147,0.96,0.06,0.05,0.94,0.07,0.13,,,,,5715,83.95,93.97,,,
Kepler-1288 b,Confirmed,,,,,,,0.1,0.014,0.042,2.76122421,1.48E-05,1.48E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1288,285.713488,41.605873,,,12.239,12.003,11.959,715,,,0.14,0.143,0.157,1.2,0.08,0.16,1.29,0.17,0.54,,,,,6132,135.79,87.95,,,
Kepler-1289 b,Confirmed,,,,,,,0.136,0.021,0.044,7.99019627,5.08E-05,5.08E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1289,296.388807,41.040571,,,13.439,13.109,13.043,1059,,,0.02,0.153,0.134,1.1,0.1,0.17,1.17,0.18,0.37,,,,,6080,268.17,245.65,,,
Kepler-129 b,Confirmed,,,,,,,0.2149,0.0036,0.0036,15.791619,5.30E-05,5.30E-05,0.131,,,0.01,0.01,0.24,,,,,2014,17/12/2015,,,,,,,,,,,,,,,,,,,0.54,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-129,285.3112793,47.848595,,,10.6,10.325,10.252,,,,,,,1.18,,,1.64,0.05,0.05,,,,,5770,83,83,,,
Kepler-129 c,Confirmed,,,,,,,0.225,0.0059,0.0059,82.20017,0.00068,0.00068,0.393,,,0.2,0.2,0.15,,,,,2014,17/12/2015,,,,,,,,,,,,,,,,,,,0.12,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-129,285.3112793,47.848595,,,10.6,10.325,10.252,,,,,,,1.18,,,1.64,0.05,0.05,,,,,5770,83,83,,,
Kepler-1290 b,Confirmed,,,,,,,0.127,0.012,0.019,4.69500134,4.21E-05,4.21E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1290,290.685249,43.859638,,,14.505,14.116,14.112,1321,,,-0.02,0.174,0.131,0.95,0.05,0.05,0.93,0.07,0.13,,,,,5660,108.37,114.11,,,
Kepler-1291 b,Confirmed,,,,,,,0.148,0.016,0.009,8.63043276,6.73E-05,6.73E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1291,289.377032,40.001151,,,14.412,13.966,13.893,982,,,-0.04,0.169,0.142,0.84,0.05,0.04,0.8,0.05,0.05,,,,,5216,108.14,81.36,,,
Kepler-1292 b,Confirmed,,,,,,,0.162,0.012,0.026,3.27646405,1.55E-05,1.55E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1292,284.90572,43.949169,,,14.679,14.392,14.19,1406,,,0.08,0.158,0.166,0.95,0.04,0.04,0.93,0.06,0.14,,,,,5556,77.3,63,,,
Kepler-1293 b,Confirmed,,,,,,,0.087,0.013,0.037,5.57654784,4.02E-05,4.02E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1293,290.025921,48.335949,,,12.412,12.134,12.075,770,,,0,0.19,0.12,1.18,0.1,0.18,1.28,0.18,0.55,,,,,6241,99.8,114.93,,,
Kepler-1294 b,Confirmed,,,,,,,0.285,0.028,0.048,115.6862258,0.0008445,0.0008445,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1294,291.268101,44.488194,,,14.021,13.657,13.597,1120,,,-0.03,0.18,0.14,0.99,0.06,0.07,0.97,0.09,0.16,,,,,5776,137.2,152.5,,,
Kepler-1295 b,Confirmed,,,,,,,0.138,0.011,0.018,3.81371974,2.28E-05,2.28E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1295,291.397864,45.588559,,,14.563,14.227,14.092,1257,,,0.04,0.157,0.142,0.92,0.04,0.04,0.89,0.06,0.1,,,,,5486,100.36,70.55,,,
Kepler-1296 b,Confirmed,,,,,,,0.081,0.005,0.008,8.3839865,8.65E-05,8.65E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1296,292.125189,41.407814,,,13.292,12.866,12.801,631,,,-0.04,0.164,0.158,0.87,0.05,0.04,0.83,0.05,0.07,,,,,5359,120.32,98.28,,,
Kepler-1297 b,Confirmed,,,,,,,0.087,0.008,0.014,1.68189002,1.03E-05,1.03E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1297,289.956501,47.020393,,,13.684,13.381,13.262,996,,,-0.04,0.189,0.156,0.99,0.06,0.06,0.99,0.09,0.16,,,,,5818,92.17,83.49,,,
